,City,Country,Lat,Lng,Max Temp,Humidity,Date,Cloudiness,Wind Speed
0,shagonar,RU,52.28895231679877,93.0820419049574,4.91,93.0,1512285881,76.0,2.17
1,butaritari,KI,29.309116001461135,171.6704594714202,84.11,100.0,1512285883,76.0,14.81
2,illoqqortoormiut,GL,87.32813191145604,-32.06864285016579,,,-9223372036854775808,,
3,jahrom,IR,28.74338866836824,53.27045522367561,,,-9223372036854775808,,
4,punta arenas,CL,-56.84361525624872,-74.97578930090269,37.4,93.0,1512280800,0.0,3.36
5,tanete,ID,-5.8911082457264,120.9871364882469,,,-9223372036854775808,,
6,albany,AU,-49.468048770572096,117.94849241367069,33.8,80.0,1512284040,90.0,3.36
7,williamsburg,US,37.621118282995454,-76.43345156605932,51.8,93.0,1512284340,40.0,2.28
8,ahipara,NZ,-30.76436874918381,169.75055458960162,63.23,97.0,1512285886,92.0,4.63
9,sitka,US,48.91829102281392,-138.00002928543546,37.4,93.0,1512284160,90.0,6.93
10,kodiak,US,39.17984161340931,-147.78953495341335,37.4,100.0,1512283980,90.0,3.36
11,busselton,AU,-37.34847687253517,104.07208124261143,79.65,69.0,1512285888,32.0,2.84
12,hobart,AU,-65.0222779225768,152.63952699809784,50.0,87.0,1512284400,75.0,25.28
13,clyde river,CA,71.27084757324343,-78.28385199447536,-0.41,84.0,1512284400,90.0,2.24
14,mataura,PF,-80.44361667963733,-146.91698454208625,,,-9223372036854775808,,
15,sarh,TD,8.81358544720753,18.631719143477568,,,-9223372036854775808,,
16,barrow,US,83.07514836921698,-156.01523375635466,6.8,77.0,1512284400,20.0,21.92
17,heishan,CN,41.2897257404413,121.97419052630414,24.39,26.0,1512285890,0.0,13.24
18,nadym,RU,63.5824282524201,69.8228771147445,21.96,89.0,1512285891,92.0,14.81
19,chepareria,KE,1.6517325700545626,35.553961303983186,64.58,58.0,1512285891,0.0,1.95
20,bosaso,SO,10.921850199668725,49.01298351330723,,,-9223372036854775808,,
21,ushuaia,AR,-86.96770833243396,-51.58126198298402,37.4,74.0,1512280800,0.0,4.7
22,moose factory,CA,50.606097061496115,-80.69367500346347,,,-9223372036854775808,,
23,attawapiskat,CA,56.09862574734123,-80.81472807376792,,,-9223372036854775808,,
24,balaipungut,ID,1.0420446070607312,100.23704514399213,89.6,62.0,1512282600,88.0,3.36
25,port elizabeth,ZA,-74.06834629547427,31.573537719888748,68.0,60.0,1512284400,0.0,19.46
26,avarua,CK,-63.3712432768197,-163.8758396111227,77.0,88.0,1512284400,75.0,8.05
27,saint anthony,CA,52.58242882011669,-52.0840079205917,32.0,86.0,1512285300,1.0,3.36
28,poyarkovo,RU,49.0831932075682,129.11741101898485,-4.1,52.0,1512285895,0.0,4.63
29,los llanos de aridane,ES,25.762171756219473,-18.519845336141316,68.0,88.0,1512284400,75.0,6.08
30,butaritari,KI,25.43372712588507,165.42103036995343,,,-9223372036854775808,,
31,saint george,BM,32.42950286388292,-63.60252428111964,48.2,45.0,1512284160,1.0,4.97
32,ushuaia,AR,-65.60860911006756,-57.83688456678382,,,-9223372036854775808,,
33,cherskiy,RU,70.45030020691192,158.03139153265352,22.05,83.0,1512285896,88.0,10.22
34,atuona,PF,-10.016598043625933,-143.06551346379524,81.41,98.0,1512285897,88.0,20.07
35,mataura,PF,-48.95076218078181,-149.06980982340534,,,-9223372036854775808,,
36,barrow,US,72.21662821499933,-153.44983053747396,,,-9223372036854775808,,
37,ushuaia,AR,-86.05502149176627,-79.53288363144334,,,-9223372036854775808,,
38,dikson,RU,86.80212330306898,70.89120965923269,14.36,96.0,1512285898,88.0,21.18
39,obo,CF,6.792959782320295,26.225810482015817,71.1,80.0,1512285898,8.0,7.31
40,hobart,AU,-84.44003130537506,143.03958293406743,,,-9223372036854775808,,
41,amderma,RU,82.21459012772695,64.25759921906015,,,-9223372036854775808,,
42,ushuaia,AR,-79.6539284163653,-23.641379521110423,,,-9223372036854775808,,
43,mantua,CU,23.226370934733325,-84.27713398830001,69.98,86.0,1512285899,0.0,7.54
44,rawson,AR,-49.16762174008126,-55.83745431879703,54.54,94.0,1512285900,12.0,7.2
45,punta arenas,CL,-63.665074728499384,-103.81822080542678,,,-9223372036854775808,,
46,yinchuan,CN,38.60072627890165,105.75884678404788,39.78,29.0,1512285900,0.0,9.22
47,viransehir,TR,37.36365064489863,39.75856532014495,41.99,68.0,1512285901,0.0,7.65
48,nome,US,65.56751160617884,-164.81099999522687,30.2,92.0,1512284640,90.0,9.17
49,punta arenas,CL,-61.97798486806839,-110.19495633684735,,,-9223372036854775808,,
50,grand gaube,MU,-12.342810439039056,61.8022334497455,84.2,66.0,1512284400,40.0,17.22
51,vaini,TO,-70.30618109295223,-167.93261546024064,78.8,94.0,1512284400,90.0,21.85
52,saint-malo,FR,48.74905720532479,-1.9764532782061792,48.2,93.0,1512284400,90.0,4.7
53,guerrero negro,MX,15.019447834085426,-132.5825030286189,61.38,100.0,1512285903,44.0,6.76
54,ust-tsilma,RU,65.85469306618114,50.111446967141916,32.22,76.0,1512285904,88.0,9.44
55,east london,ZA,-76.38019821590703,52.148894711619334,68.0,60.0,1512284400,40.0,14.99
56,tasiilaq,GL,83.50264468494598,-40.011921674197765,24.8,58.0,1512283800,8.0,2.24
57,tuktoyaktuk,CA,84.99741795475913,-121.13139203756185,3.2,84.0,1512280800,90.0,6.93
58,bengkulu,ID,-15.505512289157139,92.87830493721128,79.88,100.0,1512285631,76.0,14.25
59,camopi,GF,1.9147392088287774,-53.082517730676514,77.09,80.0,1512285906,8.0,2.84
60,hilo,US,17.09329915290759,-146.80783139809543,69.8,100.0,1512284820,90.0,11.41
61,pogar,RU,52.5146187610367,33.15535602147963,28.98,96.0,1512285907,64.0,9.44
62,port lincoln,AU,-37.354332258795964,132.44305334106235,62.01,88.0,1512285907,68.0,16.6
63,rikitea,PF,-18.172313637405637,-113.40445886972634,76.59,100.0,1512285908,56.0,18.5
64,avera,PF,-21.519912243642068,-154.7249646249532,,,-9223372036854775808,,
65,sakakah,SA,28.194735545432735,41.35427630224794,,,-9223372036854775808,,
66,port hawkesbury,CA,44.07115758645358,-60.720438276836646,33.8,100.0,1512284400,90.0,3.36
67,gisborne,NZ,-40.35492501830629,179.1963132071316,67.95,77.0,1512285909,0.0,2.95
68,changli,CN,39.23229314008074,118.9100837362003,33.21,100.0,1512285910,0.0,14.36
69,hermanus,ZA,-74.04493885067959,6.092785542011939,58.73,88.0,1512285910,64.0,4.52
70,eureka,US,41.754621339647656,-137.41958889161438,44.6,93.0,1512284100,75.0,5.82
71,vaitupu,WF,-9.777231458622069,-176.22744020402268,,,-9223372036854775808,,
72,kapaa,US,29.62730252305404,-155.2294566969572,69.8,77.0,1512284160,75.0,23.04
73,sola,VU,-10.50005745421035,170.53630265084007,80.91,99.0,1512285912,92.0,6.76
74,san francisco,PH,9.92461198158523,125.25484249394856,57.2,66.0,1512284820,90.0,5.82
75,mataura,PF,-58.09606054381113,-158.51246791177647,,,-9223372036854775808,,
76,hermanus,ZA,-66.94424821009284,0.24283580129838356,,,-9223372036854775808,,
77,abong mbang,CM,3.302294194307109,13.5828519519888,69.57,93.0,1512285913,36.0,2.62
78,sitka,US,40.59660480699827,-143.8758794654547,,,-9223372036854775808,,
79,lubango,AO,-16.1995800012198,14.260710986080028,68.04,54.0,1512285913,32.0,2.84
80,mataura,PF,-51.73474015776981,-156.76714128593997,,,-9223372036854775808,,
81,cape town,ZA,-48.1804634163498,-8.579178137215024,59.0,93.0,1512284400,90.0,12.75
82,tura,RU,66.2339109221669,104.75755694764052,75.87,68.0,1512285915,0.0,3.96
83,yellowknife,CA,71.26936555731362,-105.91131022516028,-18.41,75.0,1512284400,75.0,5.82
84,rikitea,PF,-38.47166301308047,-130.78568903200937,,,-9223372036854775808,,
85,jamestown,SH,-7.988264375121233,-5.164005909322327,39.2,89.0,1512284160,90.0,4.7
86,coihaique,CL,-46.5130549515583,-76.3802889017772,53.6,46.0,1512280800,0.0,9.17
87,taolanaro,MG,-83.38301019540857,72.22964721090386,,,-9223372036854775808,,
88,amderma,RU,85.91541870633739,66.8973166757421,,,-9223372036854775808,,
89,marcona,PE,-26.87349711680971,-92.28280614001434,,,-9223372036854775808,,
90,acarau,BR,2.876008501076896,-40.09527394708354,74.97,90.0,1512285917,24.0,9.66
91,punta arenas,CL,-75.51940475279807,-119.24044679581826,,,-9223372036854775808,,
92,yulara,AU,-24.790250164278405,131.76066136938874,84.2,25.0,1512284400,0.0,12.75
93,hobart,AU,-87.76224007242922,131.36544558237142,,,-9223372036854775808,,
94,hermanus,ZA,-81.09389313689937,3.92297532972745,,,-9223372036854775808,,
95,jamestown,SH,-41.600030904619615,-9.468975290558603,,,-9223372036854775808,,
96,khatanga,RU,84.57352879095319,101.58377838630236,-7.97,64.0,1512285919,68.0,6.76
97,vaini,TO,-87.73906343810128,-170.9323099821031,,,-9223372036854775808,,
98,champerico,GT,8.13691811490267,-95.46723564941406,72.99,97.0,1512285919,0.0,4.41
99,hobart,AU,-85.91208234233282,131.7483795681374,,,-9223372036854775808,,
100,kenai,US,64.1477991464671,-156.20469348520493,32.0,92.0,1512284700,20.0,2.06
101,tuktoyaktuk,CA,85.17442614136903,-129.49359922238077,,,-9223372036854775808,,
102,san patricio,MX,14.8329723007773,-108.3109912582859,64.58,100.0,1512285920,0.0,2.51
103,upernavik,GL,87.91117958511487,-44.01551303186545,26.96,100.0,1512285921,80.0,21.85
104,louisbourg,CA,43.09822380493816,-58.78283386466272,,,-9223372036854775808,,
105,makakilo city,US,11.54942920051792,-163.85640864582362,75.2,88.0,1512284460,75.0,15.82
106,necochea,AR,-49.96622017950021,-53.22028294622439,55.98,100.0,1512285923,100.0,10.78
107,amderma,RU,88.40005852036396,66.18265652954557,,,-9223372036854775808,,
108,bryan,US,30.584564245651123,-96.82466901988244,60.8,87.0,1512284100,1.0,5.82
109,nizhneyansk,RU,79.53304995008554,138.2212070247396,,,-9223372036854775808,,
110,sug-aksy,RU,51.82351667423882,91.14988352719314,,,-9223372036854775808,,
111,dabakala,CI,8.836341690291817,-3.7260965364368417,71.64,93.0,1512285924,0.0,7.76
112,asau,TV,-9.35086257738422,178.28387311722895,35.6,100.0,1512284400,90.0,6.93
113,maloshuyka,RU,64.44667545532693,37.38289647673818,,,-9223372036854775808,,
114,sobolevo,RU,55.72618748797197,152.65066999928973,,,-9223372036854775808,,
115,liverpool,CA,40.816865682158436,-63.62883146177049,50.0,93.0,1512283800,75.0,13.87
116,punta arenas,CL,-67.7638581086349,-83.14212316804088,,,-9223372036854775808,,
117,atuona,PF,-10.919616190899717,-131.63686073142523,,,-9223372036854775808,,
118,viedma,AR,-45.47879444167174,-59.320120227391726,45.81,91.0,1512285926,0.0,6.98
119,ushuaia,AR,-60.45451742639463,-60.8458265909845,,,-9223372036854775808,,
120,alcains,PT,39.84198322045853,-7.185192992533416,25.79,76.0,1512285927,0.0,5.75
121,new norfolk,AU,-74.5647629506624,125.45289587360037,50.0,87.0,1512284400,75.0,25.28
122,bluff,NZ,-88.94828471926333,159.21156903042413,67.05,79.0,1512285928,44.0,11.79
123,klaksvik,FO,63.51051944359887,-5.281913096897398,41.0,60.0,1512283800,44.0,14.99
124,rikitea,PF,-16.505088167508347,-119.34160976190861,,,-9223372036854775808,,
125,arraial do cabo,BR,-33.7206659003738,-29.951629657069816,71.78,100.0,1512285895,100.0,10.56
126,ostrovnoy,RU,77.01830081447687,41.21705101255182,23.81,90.0,1512285929,32.0,19.17
127,busselton,AU,-57.539963638574065,88.9625045061133,,,-9223372036854775808,,
128,barrow,US,84.45739364144939,-167.25666727338924,,,-9223372036854775808,,
129,sao paulo de olivenca,BR,-3.8354915757523287,-68.31882634323256,79.02,86.0,1512285930,20.0,2.73
130,alamos,MX,27.73175470971634,-109.14824346141761,61.02,90.0,1512285930,0.0,1.72
131,huallanca,PE,-10.013256993894572,-77.27810028551224,,,-9223372036854775808,,
132,butaritari,KI,20.356170668088865,167.74494635501668,,,-9223372036854775808,,
133,punta arenas,CL,-52.35321442526104,-88.19569227520022,,,-9223372036854775808,,
134,panaba,MX,25.314178383500177,-88.47877387726805,69.44,84.0,1512285931,0.0,3.51
135,ushuaia,AR,-67.77166003447405,-50.65572227912742,,,-9223372036854775808,,
136,ushuaia,AR,-62.08287147713334,-55.603567348800055,,,-9223372036854775808,,
137,taolanaro,MG,-38.780496144548806,53.41532009391889,,,-9223372036854775808,,
138,hobart,AU,-59.92082050733614,150.54496510082777,,,-9223372036854775808,,
139,iranshahr,IR,26.676728387203553,59.03154959026932,62.6,23.0,1512280800,0.0,6.93
140,jamestown,SH,-52.689844838186325,-17.343436485259076,,,-9223372036854775808,,
141,lagoa,PT,45.580099180748505,-32.775310037668135,64.94,100.0,1512285932,76.0,19.51
142,busselton,AU,-59.78786149128986,88.48395205102122,,,-9223372036854775808,,
143,la plata,US,38.43635233413488,-77.18157418878043,69.8,93.0,1512280800,0.0,4.7
144,joaima,BR,-16.865036027534813,-41.15653512234891,70.47,98.0,1512285933,92.0,3.06
145,kaitangata,NZ,-56.5453586573904,173.86500238319076,,,-9223372036854775808,,
146,busselton,AU,-58.494125210856296,81.48975828045371,,,-9223372036854775808,,
147,albany,AU,-44.905830874190784,112.91853629464805,,,-9223372036854775808,,
148,rikitea,PF,-30.672230783208363,-107.24714444618857,,,-9223372036854775808,,
149,luwuk,ID,-1.2176212873244197,121.96809389124496,84.74,88.0,1512285934,68.0,1.95
150,georgetown,SH,-16.66375511444822,-22.053664056148534,75.2,100.0,1512280800,40.0,4.7
151,hobart,AU,-87.28890622224267,137.95727806083153,,,-9223372036854775808,,
152,puerto ayora,EC,-5.559880219212744,-113.60276949011066,69.3,100.0,1512285935,24.0,11.23
153,barrow,US,88.83393500609344,-153.77772113765553,,,-9223372036854775808,,
154,sterling,US,41.06035113203242,-102.21661622769032,37.4,100.0,1512284760,90.0,4.41
155,saldanha,ZA,-37.62047318690671,7.621307674590582,62.6,77.0,1512284400,88.0,8.05
156,avarua,CK,-12.935741430464233,-159.32204408220375,,,-9223372036854775808,,
157,busselton,AU,-58.91583488333806,96.73972574499493,,,-9223372036854775808,,
158,vaini,TO,-45.49555719594431,-176.00638011432804,,,-9223372036854775808,,
159,fuyu,CN,47.81727674525226,124.69323594826744,14.58,61.0,1512285936,44.0,6.87
160,rikitea,PF,-30.454395344860856,-133.56729375100298,,,-9223372036854775808,,
161,hithadhoo,MV,-10.103633735387604,68.03764548717311,80.91,100.0,1512285937,64.0,13.35
162,souillac,MU,-47.514503639229666,70.35610112769186,84.2,66.0,1512284400,40.0,17.22
163,clyde river,CA,72.74307507575594,-69.64418249275757,,,-9223372036854775808,,
164,belushya guba,RU,72.96428444085021,53.88243544297032,,,-9223372036854775808,,
165,sao felix do xingu,BR,-9.62040438938837,-52.57956257722526,74.48,99.0,1512285938,48.0,1.95
166,east london,ZA,-54.604753179005215,46.86812629979295,,,-9223372036854775808,,
167,vaini,TO,-85.86126780378537,-175.5705766866777,,,-9223372036854775808,,
168,leningradskiy,RU,78.84281264078183,176.85075107310655,19.89,92.0,1512285939,76.0,8.99
169,yellowknife,CA,82.23493402301514,-103.94563131374156,,,-9223372036854775808,,
170,bengkulu,ID,-24.557476778777584,87.76903163034171,,,-9223372036854775808,,
171,taolanaro,MG,-44.80949613228289,58.52574951581144,,,-9223372036854775808,,
172,punta arenas,CL,-83.27645285965599,-90.48484544216609,,,-9223372036854775808,,
173,khorramshahr,IR,30.624426583322432,46.19286386998917,59.0,47.0,1512284400,0.0,13.87
174,illoqqortoormiut,GL,79.6695994740692,-13.357385408765225,,,-9223372036854775808,,
175,tuatapere,NZ,-51.99843852997715,162.808070492421,67.68,68.0,1512285940,0.0,12.12
176,maine-soroa,NE,13.209014898775038,12.170283458175533,58.14,40.0,1512285940,12.0,5.19
177,albany,AU,-57.988926567483716,110.38895215421593,,,-9223372036854775808,,
178,bredasdorp,ZA,-55.370887591575126,21.416892464885734,71.6,49.0,1512284400,68.0,16.11
179,ayagoz,KZ,48.80571089871802,78.13982131668865,20.97,64.0,1512285942,80.0,5.64
180,trujillo,VE,9.438015399795631,-70.2586434885465,62.6,88.0,1512280800,20.0,8.05
181,oksfjord,NO,75.3225617637728,21.103304824617595,28.4,68.0,1512283800,88.0,4.7
182,henties bay,NA,-20.719428622933492,10.98800108753639,,,-9223372036854775808,,
183,juneau,US,57.65746203146614,-133.76533001498157,33.8,100.0,1512284160,90.0,9.17
184,kruisfontein,ZA,-64.82650917791136,27.934408895545857,66.56,75.0,1512285943,0.0,14.92
185,rikitea,PF,-39.56292408663006,-136.24931617682958,,,-9223372036854775808,,
186,arraial do cabo,BR,-48.95493405879392,-18.67565188642621,,,-9223372036854775808,,
187,yuzhno-kurilsk,RU,43.41110723602273,147.00982339389628,41.85,100.0,1512285944,68.0,23.09
188,ribeira grande,PT,44.57177327336689,-38.0767953117097,66.2,77.0,1512284400,40.0,10.29
189,namibe,AO,-17.984517137358154,4.16130383961783,70.29,100.0,1512285945,0.0,3.96
190,punta arenas,CL,-56.71058056802405,-86.47420461901697,,,-9223372036854775808,,
191,half moon bay,US,30.636858472302606,-137.54770578236992,57.2,87.0,1512284820,90.0,4.7
192,sorland,NO,72.26295640830057,10.250801880726385,41.67,100.0,1512285946,76.0,31.7
193,araouane,ML,19.53730376871725,-2.62474147469797,59.94,45.0,1512285947,68.0,2.84
194,kodiak,US,41.82586461347154,-156.58408440849186,,,-9223372036854775808,,
195,salalah,OM,14.241788278284076,54.05149595964534,82.4,42.0,1512280200,0.0,20.8
196,kitui,KE,-2.166504452206283,38.70294896692792,73.76,54.0,1512285947,8.0,4.52
197,vardo,NO,81.49026788524392,33.37336336893841,32.85,100.0,1512285948,92.0,18.16
198,lebu,CL,-30.015005060155666,-98.90231868585799,52.38,100.0,1512285948,0.0,10.45
199,katsuura,JP,24.52292979479553,144.5911896356149,53.6,58.0,1512282600,20.0,5.82
200,jamestown,SH,-24.646341603044817,-7.164943246468738,,,-9223372036854775808,,
201,kavaratti,IN,11.547201273134561,62.95561390333566,83.16,97.0,1512285949,76.0,31.47
202,port keats,AU,-13.129699051851262,128.90266620934767,88.47,90.0,1512285950,24.0,4.63
203,iqaluit,CA,66.77976648234474,-80.27544706442131,14.0,72.0,1512284400,75.0,5.82
204,san jeronimo,MX,15.478328162936648,-101.28283434755437,34.43,83.0,1512285951,12.0,2.95
205,upernavik,GL,67.96994919917347,-59.4671186701115,,,-9223372036854775808,,
206,kapaa,US,27.724415709822736,-175.06596667040648,,,-9223372036854775808,,
207,clyde river,CA,72.49497488895034,-70.16359074364303,,,-9223372036854775808,,
208,almenara,BR,-15.923358225269851,-40.37479984423129,71.37,94.0,1512285943,88.0,1.83
209,ushuaia,AR,-73.85814566459895,-27.965574583389298,,,-9223372036854775808,,
210,vanavara,RU,62.17715985609695,102.26330408396763,-0.81,66.0,1512285952,68.0,4.74
211,changtu,CN,43.05656719045285,124.17009988460632,17.78,48.0,1512285952,0.0,6.42
212,kodiak,US,55.861298300898,-148.27225745127723,,,-9223372036854775808,,
213,barentsburg,SJ,76.92655780645666,4.900642799383604,,,-9223372036854775808,,
214,punta arenas,CL,-82.91815991720107,-111.3421621791584,,,-9223372036854775808,,
215,guerrero negro,MX,15.162959378418918,-131.7501955724829,,,-9223372036854775808,,
216,albany,AU,-50.547721633982775,114.2627133562836,,,-9223372036854775808,,
217,ormara,PK,25.416825015791176,64.20371433150396,74.84,76.0,1512285953,0.0,16.93
218,undory,RU,54.649085441079706,48.30850019753447,26.6,86.0,1512280800,90.0,15.66
219,ushuaia,AR,-86.35522560103409,-86.49596278347177,,,-9223372036854775808,,
220,taolanaro,MG,-64.91566759997858,60.36423202740545,,,-9223372036854775808,,
221,ambanja,MG,-13.951306791981722,48.34686297707648,86.0,70.0,1512284400,20.0,4.7
222,albany,AU,-73.91818515772331,104.1461531006833,,,-9223372036854775808,,
223,puerto ayora,EC,-22.428569264404047,-103.93320850862256,,,-9223372036854775808,,
224,tadine,NC,-23.102774293876763,172.2451151064107,75.51,99.0,1512285954,88.0,13.91
225,sao desiderio,BR,-12.325540983942744,-44.889434832752954,66.06,99.0,1512285955,92.0,4.29
226,aklavik,CA,75.54196337871548,-142.31740820016518,1.4,77.0,1512284400,20.0,8.05
227,jamestown,SH,-35.24235496197753,-5.892799054372659,,,-9223372036854775808,,
228,punta arenas,CL,-84.63176096747739,-113.04101283805673,,,-9223372036854775808,,
229,bereda,SO,13.495821212053855,53.682950739690256,,,-9223372036854775808,,
230,mar del plata,AR,-61.275024343865326,-31.594681827920454,64.4,93.0,1512280800,90.0,4.7
231,rawannawi,KI,1.8098558796771727,175.38713195282065,,,-9223372036854775808,,
232,hilo,US,10.447559405866258,-149.25854313350226,,,-9223372036854775808,,
233,ushuaia,AR,-64.0838421719166,-48.60551759985211,,,-9223372036854775808,,
234,spearfish,US,43.58498552778457,-104.53874031103211,41.0,47.0,1512284100,1.0,4.7
235,hualmay,PE,-11.613088313513117,-78.76665032446027,59.31,91.0,1512285957,20.0,4.97
236,bredasdorp,ZA,-47.86517513436847,23.12726826233086,,,-9223372036854775808,,
237,vardo,NO,81.34437109343281,34.64907378943121,,,-9223372036854775808,,
238,los llanos de aridane,ES,27.199908249337142,-18.39923310862295,,,-9223372036854775808,,
239,leshukonskoye,RU,64.88073671298537,46.66490704030062,31.32,76.0,1512285958,88.0,9.22
240,hermanus,ZA,-84.03228154488761,10.240049712089785,,,-9223372036854775808,,
241,okhotsk,RU,60.1279189945424,141.79460533873146,-15.08,100.0,1512285958,48.0,11.79
